geoid,name,B24031001,"B24031001, Error",B24031002,"B24031002, Error",B24031003,"B24031003, Error",B24031004,"B24031004, Error",B24031005,"B24031005, Error",B24031006,"B24031006, Error",B24031007,"B24031007, Error",B24031008,"B24031008, Error",B24031009,"B24031009, Error",B24031010,"B24031010, Error",B24031011,"B24031011, Error",B24031012,"B24031012, Error",B24031013,"B24031013, Error",B24031014,"B24031014, Error",B24031015,"B24031015, Error",B24031016,"B24031016, Error",B24031017,"B24031017, Error",B24031018,"B24031018, Error",B24031019,"B24031019, Error",B24031020,"B24031020, Error",B24031021,"B24031021, Error",B24031022,"B24031022, Error",B24031023,"B24031023, Error",B24031024,"B24031024, Error",B24031025,"B24031025, Error",B24031026,"B24031026, Error",B24031027,"B24031027, Error"
16000US0652379,"North Tustin, CA",84690,10096,42054,144544,42054,144544,,,98250,39429,109205,25093,97121,36714,36622,25899,99861,39684,82357,39034,250001,,95175,80029,141771,57337,148511,31695,105625,73184,105227,23481,105960,18743,,,67083,41750,72831,26317,70625,40422,73472,29672,16935,9384,29808,23742,15441,4249,48333,54185,87976,23110
16000US0653980,"Orange, CA",53154,1919,28839,21451,22788,5914,,,52443,4429,71804,6762,63079,6251,31148,3349,55625,16148,48162,17305,164196,95540,57164,15645,76992,8680,87686,9716,48281,15694,63851,9238,77198,6736,43777,36437,38408,3981,56364,2724,57905,5779,55080,4359,23126,1991,27816,4930,21286,2491,29842,6665,79308,3346
16000US0657526,"Placentia, CA",52440,4063,19453,25508,19453,25508,,,58444,10954,67937,6904,68304,20930,26905,6466,49760,7396,45286,5399,108889,66670,66094,60895,73815,9994,88885,7367,51324,6590,72646,6641,81125,10329,,,43802,13289,57575,5285,68268,21374,54731,5928,24600,2755,31842,10445,23287,2617,31333,6940,79656,14445
16000US0659503,"Rancho Mission Viejo, CA",103813,17636,,,,,,,116838,95093,152938,58738,138750,79851,193750,132921,250001,,250001,,,,173304,76741,79610,6919,160158,104052,55429,71699,114079,25495,113141,31481,,,114444,229332,57614,14193,80288,43786,53654,11074,80625,82410,103646,102450,44375,94805,55000,119723,108839,31247
16000US0659587,"Rancho Santa Margarita, CA",71243,4111,32995,15667,24702,15420,,,75771,28167,90119,13975,101431,23777,46658,5437,101875,69567,101172,74413,108523,149853,60125,8063,100124,9151,106806,17336,69545,22928,86227,5529,106483,11894,250001,,46630,38953,68246,7176,69987,7643,64615,18179,28353,9194,44583,29444,25234,13248,34470,11607,99316,15056
16000US0663050,"Rossmoor, CA",96934,8450,,,,,,,71375,24472,130179,71449,27083,134598,39531,37392,130417,53581,105664,43474,141048,494,69417,143538,138750,33242,138589,42579,139750,79936,127500,23650,133182,29581,142875,60389,99135,49101,95321,21276,55882,62217,100944,14582,20927,15866,64000,121106,18315,13375,2813,17908,135938,88217
16000US0665084,"San Clemente, CA",70288,5032,54890,26419,53603,24004,,,72500,26099,107095,18019,108284,17248,36475,2930,90387,16322,81250,68413,91512,16290,115250,96971,100409,14098,112967,16191,71540,10622,89501,7457,93646,8698,230875,178601,59667,20615,66942,10559,70571,12756,62441,10906,24572,3604,33705,19355,22994,4150,27576,10099,105632,16481
16000US0668028,"San Juan Capistrano, CA",48238,2453,45046,78626,45046,78626,,,46767,5346,92679,31339,96593,14577,26516,2269,26047,38297,25349,29308,114808,150371,75547,86822,91310,49017,96498,8074,47279,52001,69231,37998,92931,24767,,,34653,16882,52898,17943,74754,29888,44375,7757,31849,4314,31726,9667,31870,5046,31808,4726,119926,52710
16000US0669000,"Santa Ana, CA",34936,610,30298,2430,29644,2423,59167,14988,42104,2180,40672,1702,45433,2873,29104,1046,36551,2436,35258,1956,90556,17985,56107,13553,52191,2434,60320,7784,39380,5474,35368,1530,55508,6319,69063,49595,31230,981,38975,2707,41935,6431,38058,2301,24040,1042,26250,5822,23882,1054,28305,2237,59172,5570
16000US0670686,"Seal Beach, CA",76944,6674,,,,,,,112877,24582,116000,25049,86250,55893,38523,23018,118000,55917,110156,66322,142679,103296,80987,56193,77474,34368,110929,32645,49545,15038,133667,28707,145227,22121,,,41429,54262,75136,12725,87740,24263,70459,12023,20132,11366,21389,29461,14800,14481,63389,14989,114327,10302
16000US0671918,"Silverado, CA",56848,12497,,,,,,,,,76083,41642,,,40536,116261,4226,49788,,,,,119000,41283,57065,27667,57065,25532,,,36500,89881,67813,99894,,,,,68250,9525,68250,33301,68250,10713,52813,48492,,,52813,48492,,,121563,60643
16000US0673962,"Stanton, CA",41214,1702,28614,3541,28614,3541,,,46176,5064,46021,3998,53237,29926,35820,3529,49375,9456,42236,8517,63542,26558,47083,27758,63385,10759,68958,11837,56563,7208,47955,11386,73565,21026,94375,111560,37885,6315,42500,7494,44000,8691,41897,9227,20836,2681,16020,9729,21388,3237,28630,4920,47435,14904
16000US0680210,"Trabuco Canyon, CA",71713,14480,,,,,,,80833,106057,105341,68176,,,3819,170242,,,,,,,,,58250,91429,58250,91429,,,84375,111441,84375,201948,,,,,99250,71243,125500,83276,54479,55423,13077,42017,,,,,71099,717,125577,18594
16000US0680854,"Tustin, CA",53049,4315,30925,7668,30925,7668,,,50512,7241,67500,12584,74412,18711,33607,4820,36971,8575,35897,8428,132321,123222,93026,25781,80450,8108,83191,7204,67161,24988,83857,8821,89255,7336,,,49398,23832,49821,6634,48979,13733,50237,7571,26886,2672,36406,22527,26078,2414,33428,7294,66288,16526
16000US0682744,"Villa Park, CA",90768,17446,,,,,,,59844,8716,90815,49688,250001,,42324,98390,68906,202217,,,,,76681,99254,106339,60649,131029,84883,59180,23615,111417,25848,116719,39324,,,125500,154545,82016,20864,82000,26813,82083,52153,12750,28903,,,12240,37244,,,45568,54438
16000US0684550,"Westminster, CA",40564,1595,33167,18217,32340,2525,169028,211359,46080,10895,47217,3518,49948,15384,27760,3511,56038,9633,52524,9172,86823,15255,38853,9694,54444,9508,60625,15226,45332,22964,58905,12550,67025,6543,113167,135127,33354,5625,52098,8613,48750,14479,53128,7478,20694,1623,24207,7755,19493,1866,21165,4305,71420,19750
16000US0685587,"Williams Canyon, CA",55625,69564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000US0686832,"Yorba Linda, CA",74407,4883,49531,49362,14569,64718,108542,254297,102857,32234,118539,10537,93182,18578,34231,4142,82500,31256,78542,32555,130125,28998,82833,82331,100750,8273,108094,8749,59675,34282,83919,7969,84966,16436,215625,127850,59360,15522,79435,6055,82717,13972,78646,6290,21481,4770,28491,7920,17135,5022,28326,4267,109583,11007
